count,description,amount_per_100g,amount_per_cup
47,"Milk, human",0.3,0.738
290,"Milk, NFS",0.2,0.488
675,"Milk, whole",0.3,0.732
1070,"Milk, reduced fat (2%)",0.2,0.488
1455,"Milk, low fat (1%)",0.1,0.244
1848,"Milk, fat free (skim)",0.0,0.0
3197,"Milk, lactose free, whole",0.3,0.732
3522,"Buttermilk, fat free (skim)",0.1,0.244
3848,"Buttermilk, whole",0.3,0.732
4142,"Kefir, NS as to fat content",0.6,1.464
4366,"Goat's milk, whole",0.3,0.732
6398,"Milk, evaporated, whole",0.5,1.26
7455,"Milk, condensed, sweetened",0.6,1.8239999999999998
7683,"Non-dairy milk, NFS",0.9,2.196
8006,Soy milk,2.9,7.076
8300,"Soy milk, light",3.0,7.32
8497,"Soy milk, nonfat",3.0,7.32
8691,"Soy milk, chocolate",2.8,6.832
8885,"Soy milk, light, chocolate",3.0,7.32
9113,"Almond milk, sweetened",0.0,0.0
9763,"Almond milk, unsweetened",0.0,0.0
10413,Rice milk,0.2,0.488
10737,Coconut milk,0.0,0.0
11060,"Yogurt, NFS",0.2,0.49000000000000005
12363,"Yogurt, whole milk, plain",0.2,0.49000000000000005
12689,"Yogurt, low fat milk, plain",0.2,0.49000000000000005
13014,"Yogurt, nonfat milk, plain",0.2,0.49000000000000005
14961,"Yogurt, whole milk, fruit",0.2,0.49000000000000005
15304,"Yogurt, low fat milk, fruit",0.2,0.49000000000000005
15676,"Yogurt, nonfat milk, fruit",0.2,0.49000000000000005
20081,"Yogurt, Greek, with oats",1.3,3.1850000000000005
20327,"Yogurt, liquid",0.1,0.24500000000000002
21866,"Frozen yogurt, NFS",0.3,0.525
22258,"Frozen yogurt, vanilla",0.3,0.525
22645,"Frozen yogurt, chocolate",0.3,0.525
25023,"Chocolate milk, NFS",0.2,0.496
35355,"Strawberry milk, NFS",0.2,0.496
35618,"Strawberry milk, whole",0.3,0.744
35878,"Strawberry milk, reduced fat",0.2,0.496
36138,"Strawberry milk, low fat",0.1,0.248
36395,"Strawberry milk, fat free",0.0,0.0
36656,"Strawberry milk, reduced sugar",0.1,0.248
36900,"Strawberry milk, non-dairy",1.4,3.472
37097,"Milk, malted",0.2,0.512
37292,Eggnog,0.3,0.768
39385,"Milk shake, bottled, chocolate",0.4,0.992
39890,Licuado or Batido,0.4,0.8640000000000001
40131,"Fruit smoothie, NFS",3.3,7.128
41645,Chocolate milk drink,0.1,0.248
48305,"Cream, light",1.7,4.08
48631,"Cream, half and half",1.3,3.12
48958,"Cream, half and half, flavored",1.3,3.12
49268,"Cream, half and half, fat free",0.2,0.48
49527,"Cream, heavy",3.2,7.68
49756,"Cream, whipped",3.0,1.2000000000000002
49915,"Coffee creamer, NFS",2.5,6.0
50192,"Coffee creamer, liquid",2.5,6.0
52127,"Coffee creamer, powder",1.7,1.5979999999999999
53425,"Coffee creamer, soy, liquid",2.5,6.0
53656,Whipped topping,6.3,4.725
53786,"Whipped topping, fat free",3.2,2.4000000000000004
53915,"Whipped topping, sugar free",3.2,2.4000000000000004
54076,"Sour cream, regular",1.5,3.5999999999999996
54321,"Sour cream, light",0.5,1.2
54516,"Sour cream, fat free",0.0,0.0
54711,"Sour cream, imitation",4.8,11.52
