description,amount_per_100g,amount_per_cup
Milk -  human,0.3,0.738
Milk -  NFS,0.2,0.488
Milk -  whole,0.3,0.732
Milk -  reduced fat (2%),0.2,0.488
Milk -  low fat (1%),0.1,0.244
Milk -  fat free (skim),0.0,0.0
Milk -  lactose free -  whole,0.3,0.732
Buttermilk -  fat free (skim),0.1,0.244
Buttermilk -  whole,0.3,0.732
Kefir -  NS as to fat content,0.6,1.464
Goat's milk -  whole,0.3,0.732
Milk -  evaporated -  whole,0.5,1.26
Milk -  condensed -  sweetened,0.6,1.824
Non-dairy milk -  NFS,0.9,2.196
Soy milk,2.9,7.076
Soy milk -  light,3.0,7.32
Soy milk -  nonfat,3.0,7.32
Soy milk -  chocolate,2.8,6.832
Soy milk -  light -  chocolate,3.0,7.32
Almond milk -  sweetened,0.0,0.0
Almond milk -  unsweetened,0.0,0.0
Rice milk,0.2,0.488
Coconut milk,0.0,0.0
Yogurt -  NFS,0.2,0.49
Yogurt -  whole milk -  plain,0.2,0.49
Yogurt -  low fat milk -  plain,0.2,0.49
Yogurt -  nonfat milk -  plain,0.2,0.49
Yogurt -  whole milk -  fruit,0.2,0.49
Yogurt -  low fat milk -  fruit,0.2,0.49
Yogurt -  nonfat milk -  fruit,0.2,0.49
Yogurt -  Greek -  with oats,1.3,3.185
Yogurt -  liquid,0.1,0.245
Frozen yogurt -  NFS,0.3,0.525
Frozen yogurt -  vanilla,0.3,0.525
Frozen yogurt -  chocolate,0.3,0.525
Chocolate milk -  NFS,0.2,0.496
Strawberry milk -  NFS,0.2,0.496
Strawberry milk -  whole,0.3,0.744
Strawberry milk -  reduced fat,0.2,0.496
Strawberry milk -  low fat,0.1,0.248
Strawberry milk -  fat free,0.0,0.0
Strawberry milk -  reduced sugar,0.1,0.248
Strawberry milk -  non-dairy,1.4,3.472
Milk -  malted,0.2,0.512
Eggnog,0.3,0.768
Milk shake -  bottled -  chocolate,0.4,0.992
Licuado or Batido,0.4,0.864
Fruit smoothie -  NFS,3.3,7.128
Chocolate milk drink,0.1,0.248
Cream -  light,1.7,4.08
Cream -  half and half,1.3,3.12
Cream -  half and half -  flavored,1.3,3.12
Cream -  half and half -  fat free,0.2,0.48
Cream -  heavy,3.2,7.68
Cream -  whipped,3.0,1.2
Coffee creamer -  NFS,2.5,6.0
Coffee creamer -  liquid,2.5,6.0
Coffee creamer -  powder,1.7,1.598
Coffee creamer -  soy -  liquid,2.5,6.0
Whipped topping,6.3,4.725
Whipped topping -  fat free,3.2,2.4
Whipped topping -  sugar free,3.2,2.4
Sour cream -  regular,1.5,3.6
Sour cream -  light,0.5,1.2
Sour cream -  fat free,0.0,0.0
Sour cream -  imitation,4.8,11.52
Ice cream -  NFS,0.8,1.08
Ice cream -  vanilla,0.3,0.405
Ice cream -  chocolate,0.3,0.405
Ice cream -  soft serve -  vanilla,0.4,0.7
Gelato -  vanilla,1.3,2.275
Gelato -  chocolate,1.5,2.625
Ice cream bar -  vanilla,22.3,29.659
Ice cream soda -  chocolate,0.1,0.192
Ice cream sundae -  NFS,0.9,1.26
Ice cream -  fried,5.5,7.425
Light ice cream -  NFS,1.6,2.16
Light ice cream -  vanilla,1.6,2.16
Light ice cream -  chocolate,2.1,2.835
Sherbet -  all flavors,0.0,0.0
Pudding -  chocolate -  NFS,0.6,1.56
Pudding -  bread,2.4,4.8
Custard,0.2,0.52
Flan,0.2,0.52
Creme brulee,0.2,0.52
Pudding -  rice,0.2,0.52
Firni -  Indian pudding,0.3,0.78
Pudding -  tapioca -  ready-to-eat,0.4,1.04
Banana pudding,1.0,1.9
Mousse,1.5,2.55
Dulce de leche,1.3,3.9
Trifle,1.2,1.74
Tiramisu,1.7,2.465
White sauce or gravy,4.9,11.76
Cheese -  NFS,2.7,3.051
Cheese -  Camembert,2.0,4.92
Cheese -  Limburger,2.3,3.082
Cheese -  Parmesan -  dry grated,1.7,1.7
Cheese -  paneer,1.5,3.69
Queso Fresco,1.0,1.35
Queso cotija,1.9,1.9
Cheese -  cottage -  NFS,0.0,0.0
Cottage cheese -  farmer's,0.5,1.05
Cheese -  Ricotta,0.6,1.476
Cheese -  cottage -  with fruit,0.4,0.904
Puerto Rican white cheese,1.0,1.28
Cheese -  cottage -  low fat,0.0,0.0
Cream cheese -  regular -  plain,2.1,5.04
Cream cheese -  light,1.1,2.64
Cream cheese spread -  fat free,0.2,0.48
Cheese spread -  pressurized can,1.8,4.05
Topping from cheese pizza,8.8,18.92
Topping from vegetable pizza,10.6,17.808
Topping from meat pizza,6.5,10.92
Cheese souffle,1.1,1.045
Alfredo sauce,1.3,3.38
Alfredo sauce with meat,1.4,3.64
Alfredo sauce with poultry,1.1,2.86
Alfredo sauce with seafood,1.1,2.86
Meat -  NFS,1.0,1.35
Meat -  ground -  NFS,1.6,2.0
Beef -  NFS,1.6,2.16
Beef -  steak -  NFS,1.5,2.025
Beef -  steak -  chuck,1.6,2.16
Beef -  steak -  cube,4.6,6.21
Beef -  steak -  flank,1.6,2.16
Beef -  steak -  round,1.4,1.89
Beef -  steak -  tenderloin,1.4,1.89
Beef -  steak -  country fried,11.0,14.85
Beef -  oxtails,1.4,1.89
Beef -  neck bones,1.4,0.77
Beef -  shortribs,1.8,2.43
Beef -  cow head,1.4,1.89
Beef -  roast,1.7,2.295
Beef -  pot roast,1.6,2.16
Beef -  stew meat,1.6,2.16
Beef -  corned,1.5,2.025
Beef -  brisket,1.7,2.295
Beef -  sandwich steak,1.6,1.76
Beef -  ground -  raw,1.3,2.925
Beef -  ground,1.7,2.125
Beef -  ground -  patty,1.9,2.375
Beef -  dried -  chipped -  uncooked,1.3,1.573
Pork -  NFS,0.0,0.0
Pork -  ground,0.0,0.0
Pork -  carnitas,1.1,1.485
Pork -  chop -  NS as to fat eaten,0.0,0.0
Pork -  chop -  lean and fat eaten,0.0,0.0
Pork -  chop -  lean only eaten,0.0,0.0
Pork -  chop -  stuffed,3.1,4.185
Pork -  steak -  lean only eaten,0.0,0.0
Pork -  steak -  coated,2.8,3.78
Pork -  tenderloin,0.0,0.0
Ham,0.0,0.0
Ham -  prosciutto,0.0,0.0
Ham -  canned,0.0,0.0
Ham -  ground,0.0,0.0
Pork -  roast,0.0,0.0
Ribs -  NFS,0.7,0.945
Pork -  ribs,0.5,0.675
Pork -  cracklings,0.0,0.0
Pork -  bones,0.0,0.0
Pork -  pig's feet,0.0,0.0
Pork -  ham hocks,0.0,0.0
Pork -  belly,0.0,0.0
Pork skin rinds,0.0,0.0
Lamb -  NS as to cut,4.6,6.21
Lamb -  chop,4.3,5.805
Lamb -  ground,5.3,6.625
Goat,1.2,1.62
Veal -  chop,1.3,1.755
Veal -  ground,1.5,1.875
Rabbit,1.6,2.16
Venison -  NFS,1.3,1.755
